"CRASH_ID","SER_NO","CRASH_DT","CRASH_MO_NO","CRASH_DAY_NO","CRASH_YR_NO","CRASH_WK_DAY_CD","CRASH_HR_NO","CRASH_HR_SHORT_DESC","CNTY_ID","CNTY_NM","CITY_SECT_ID","CITY_SECT_NM","URB_AREA_CD","URB_AREA_SHORT_NM","FC_CD","FC_SHORT_DESC","NHS_FLG","HWY_NO","HWY_SFX_NO","HWY_MED_NM","RDWY_NO","HWY_COMPNT_CD","HWY_COMPNT_SHORT_DESC","MLGE_TYP_CD","MLGE_TYP_SHORT_DESC","RD_CON_NO","LRS_VAL","LAT_DEG_NO","LAT_MINUTE_NO","LAT_SEC_NO","LONGTD_DEG_NO","LONGTD_MINUTE_NO","LONGTD_SEC_NO","LAT_DD","LONGTD_DD","SPECL_JRSDCT_ID","SPECL_JRSDCT_SHORT_DESC","JRSDCT_GRP_CD","JRSDCT_GRP_LONG_DESC","AGY_ST_NO","ST_FULL_NM","RECRE_RD_NM","ISECT_AGY_ST_NO","ISECT_ST_FULL_NM","ISECT_RECRE_RD_NM","ISECT_SEQ_NO","FROM_ISECT_DSTNC_QTY","CMPSS_DIR_CD","MP_NO","POST_SPEED_LMT_VAL","RD_CHAR_CD","RD_CHAR_SHORT_DESC","OFF_RDWY_FLG","ISECT_TYP_CD","ISECT_TYP_SHORT_DESC","ISECT_REL_FLG","RNDABT_FLG","DRVWY_REL_FLG","LN_QTY","TURNG_LEG_QTY","MEDN_TYP_CD","MEDN_TYP_SHORT_DESC","IMPCT_LOC_CD","CRASH_TYP_CD","CRASH_TYP_SHORT_DESC","COLLIS_TYP_CD","COLLIS_TYP_SHORT_DESC","CRASH_SVRTY_CD","CRASH_SVRTY_SHORT_DESC","WTHR_COND_CD","WTHR_COND_SHORT_DESC","RD_SURF_COND_CD","RD_SURF_SHORT_DESC","LGT_COND_CD","LGT_COND_SHORT_DESC","TRAF_CNTL_DEVICE_CD","TRAF_CNTL_DEVICE_SHORT_DESC","TRAF_CNTL_FUNC_FLG","INVSTG_AGY_CD","INVSTG_AGY_SHORT_DESC","CRASH_EVNT_1_CD","CRASH_EVNT_1_SHORT_DESC","CRASH_EVNT_2_CD","CRASH_EVNT_2_SHORT_DESC","CRASH_EVNT_3_CD","CRASH_EVNT_3_SHORT_DESC","CRASH_CAUSE_1_CD","CRASH_CAUSE_1_SHORT_DESC","CRASH_CAUSE_2_CD","CRASH_CAUSE_2_SHORT_DESC","CRASH_CAUSE_3_CD","CRASH_CAUSE_3_SHORT_DESC","SCHL_ZONE_IND","WRK_ZONE_IND","SCNDRY_CRASH_IND","ALCHL_INVLV_FLG","DRUG_INVLV_FLG","MJ_INVLV_FLG","CRASH_SPEED_INVLV_FLG","CRASH_HIT_RUN_FLG","POP_RNG_CD","POP_RNG_MED_DESC","RD_CNTL_CD","RD_CNTL_MED_DESC","RTE_TYP_CD","RTE_ID","RTE_NM","REG_ID","DIST_ID","SEG_MRK_ID","SEG_PT_LRS_MEAS","UNLOCT_FLG","CRASH_LAST_UD_DT","TOT_VHCL_CNT","TOT_FATAL_CNT","TOT_INJ_LVL_A_CNT","TOT_INJ_LVL_B_CNT","TOT_INJ_LVL_C_CNT","TOT_INJ_CNT","TOT_UNINJD_AGE00_04_CNT","TOT_UNINJD_PER_CNT","TOT_PED_CNT","TOT_PED_FATAL_CNT","TOT_PED_INJ_LVL_A_CNT","TOT_PED_INJ_CNT","TOT_PEDCYCL_CNT","TOT_PEDCYCL_FATAL_CNT","TOT_PEDCYCL_INJ_LVL_A_CNT","TOT_PEDCYCL_INJ_CNT","TOT_UNKNWN_CNT","TOT_UNKNWN_FATAL_CNT","TOT_UNKNWN_INJ_CNT","TOT_OCCUP_CNT","TOT_PER_INVLV_CNT","TOT_SFTY_EQUIP_USED_QTY","TOT_SFTY_EQUIP_UNUSED_QTY","TOT_SFTY_EQUIP_USE_UNKNOWN_QTY","TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT","TOT_MCYCLST_FATAL_CNT","TOT_MCYCLST_INJ_LVL_A_CNT","TOT_MCYCLST_INJ_CNT","TOT_MCYCLST_UNHELMTD_FATAL_CNT","TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT","TOT_DRVR_AGE_01_20_CNT","LANE_RDWY_DPRT_CRASH_FLG"
"1892871","01996","2020-10-10 00:00:00","10","10","2020","7","09","9A ","15","Jackson","","","","","01","R INTRST","True","001","  ","PACIFIC","2","0","MN","0","R","","000100200S00","42","7","28.260000000000000","-122","37","40.430000000000000","42.124516592289176","-122.627896229420680","","","","","","                            ","","","                            ","","","","0","9.58","55","7","GRADE   ","True","","","False","False","False","4","","1","RSDMD","01","8","FIX OBJ   ","9","FIX     ","4","INJ","3","RAIN","2","WET ","1","DAY ","099","UNKNOWN   ","True","1","STATE ","128","CURVE INV ","124","SLIPPERY  ","119","JERSEY BAR","01","TOO-FAST","","","","","0","0","","False","False","False","True","False","","","5","RURAL HWY SYSTEM","IS","5    ","I-5       ","3","08 ","293_11192","","False","2021-07-26 21:26:46","1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","0","0","0","0","0","0","0","0","N"
"1908715","03899","2020-12-14 00:00:00","12","14","2020","2","15","3P ","24","Marion","184","Salem","67","SALEM-KZ UA    ","14","U PR-ART","True","162","  ","NORTH SANTIAM","1","6","CN","0","R","2","0162AD100S00","44","54","43.570000000000000","-122","58","45.710000000000000","44.912102915375390","-122.979363405084580","","","","","01408  ","LANCASTER DR NE             ","","09255  ","EB EF LANCASTER C3          ","","1","","1","1.95","","3","STRGHT  ","False","","","False","False","False","3","","0","NONE ","04","E","S-1STOP   ","5","SS-O    ","5","PDO","2","CLD ","2","WET ","1","DAY ","099","UNKNOWN   ","True","0","NONE  ","","","","","","","29","F AVOID ","","","","","","","","False","False","False","False","False","8","100,001 to 200,000","4","URBAN HWY SYSTEM","OR","22   ","OR 22     ","2","03 ","293_7507","","False","2021-12-03 11:45:52","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","4","3","0","1","0","0","0","0","0","0","0","N"
"1898121","00004","2020-01-14 00:00:00","01","14","2020","3","08","8A ","28","Sherman","","","","","01","R INTRST","True","002","  ","COLUMBIA RIVER","1","0","MN","0","R","","000200100S00","45","43","46.900000000000000","-120","39","6.300000000000000","45.729693062932400","-120.651751048799100","","","","","","                            ","","","                            ","","","","0","114.43","70","5","CURVE   ","False","","","False","False","False","4","","1","RSDMD","03","E","S-1STOP   ","5","SS-O    ","5","PDO","6","SNOW","4","ICE ","1","DAY ","099","UNKNOWN   ","True","1","STATE ","124","SLIPPERY  ","","","","","01","TOO-FAST","","","","","0","0","1","False","False","False","True","False","","","5","RURAL HWY SYSTEM","IS","84   ","I-84      ","4","09 ","293_3794","","False","2021-09-12 20:27:02","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","3","0","1","2","0","0","0","0","0","0","0","N"
"1910664","00299","2020-10-07 00:00:00","10","07","2020","4","17","5P ","29","Tillamook","","","","","02","R PR-ART","True","009","  ","OREGON COAST","1","0","MN","0","R","","000900100S00","45","21","54.550000000000000","-123","48","15.900000000000000","45.365151822808130","-123.804416668052600","","","","","","                            ","","","                            ","","","","0","72.89","50","3","STRGHT  ","True","","","False","False","False","2","","0","NONE ","06","8","FIX OBJ   ","9","FIX     ","5","PDO","2","CLD ","1","DRY ","1","DAY ","000","NONE      ","True","1","STATE ","043","GARDRAIL  ","","","","","08","IMP-TURN","","","","","0","0","0","False","False","False","False","False","","","5","RURAL HWY SYSTEM","US","101  ","US 101    ","2","01 ","293_18228","","False","2021-12-09 20:37:43","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","Y"
"1893607","81158","2020-09-27 00:00:00","09","27","2020","1","13","1P ","02","Benton","4","Albany","1","ALBANY UA      ","16","U MN-ART","False","","","","","","","","","","","44","39","0.800000000000000","-123","6","58.180000000000000","44.650221654743500","-123.116161509951080","","","","","00105  ","N ALBANY RD                 ","","02301  ","E THORNTON LAKE DR          ","","1","0","1","","40","1","INTER   ","False","3","3-LEG  ","False","False","False","","0","","","05","C","S-STRGHT  ","5","SS-O    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","3","CITY  ","","","","","","","06","IMP-OVER","32","CARELESS","","","0","0","0","False","False","False","False","False","7","50,001 to 100,000","3","URBAN CITY STREET ","","","","2","04 ","9_4825","","False","2021-12-02 15:40:13","2","0","0","0","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","4","4","4","0","0","0","0","0","0","0","0","0","N"
"1876704","01705","2020-12-02 00:00:00","12","02","2020","4","08","8A ","09","Deschutes","","","","","07","R MJ-COL","False","","","","","","","","","","","44","4","41.900000000000000","-121","2","53.280000000000000","44.078304846159400","-121.048134588227130","","","","","03154  ","ALFALFA MKT RD              ","","03191  ","DODDS RD                    ","","1","4","7","","55","3","STRGHT  ","True","","","False","False","False","2","","0","NONE ","07","8","FIX OBJ   ","9","FIX     ","4","INJ","5","FOG ","4","ICE ","1","DAY ","099","UNKNOWN   ","True","2","COUNTY","124","SLIPPERY  ","062","TREE      ","","","01","TOO-FAST","","","","","0","0","","False","False","False","True","False","","","6","RURAL COUNTY ROAD","","","","4","10 ","11_10011777","","False","2021-04-09 14:30:12","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","Y"
"1902466","00596","2020-09-03 00:00:00","09","03","2020","5","05","5A ","30","Umatilla","","","","","01","R INTRST","True","006","  ","OLD OREGON TRAIL","2","0","MN","0","R","","000600200S00","45","33","31.720000000000000","-118","27","41.670000000000000","45.558810277803900","-118.461576339498900","","","","","","                            ","","","                            ","","","","0","233.44","70","3","STRGHT  ","True","","","False","False","False","4","","2","DIVMD","06","7","ANIMAL    ","&","OTH     ","4","INJ","1","CLR ","1","DRY ","4","DAWN","099","UNKNOWN   ","True","1","STATE ","035","DEER ELK  ","079","DITCH     ","","","01","TOO-FAST","","","","","0","0","","False","False","False","True","False","","","5","RURAL HWY SYSTEM","IS","84   ","I-84      ","5","12 ","293_5236","","False","2021-10-06 20:18:39","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","1","Y"
"1882446","01691","2020-02-22 00:00:00","02","22","2020","7","16","4P ","26","Multnomah","244","Portland E. Burnside","57","PORTLAND UA    ","16","U MN-ART","False","","","","","","","","","","","45","31","20.700000000000000","-122","32","15.980000000000000","45.522416178713605","-122.537771713603250","","","","","00283  ","E BURNSIDE ST               ","","05122  ","122ND AVE                   ","","1","0","7","","","1","INTER   ","False","1","CROSS  ","False","False","False","","0","","","06","E","S-1STOP   ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","001","TRF SIGNAL","True","5","NO RPT","004","INDRCT PED","","","","","29","F AVOID ","","","","","","","","False","False","False","False","False","9","Over 200,000","1","PORTLAND CITY STREET","","","","1","02B","58_501011","","False","2021-12-03 13:34:21","2","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","0","N"
"1890584","02032","2020-08-02 00:00:00","08","02","2020","1","15","3P ","03","Clackamas","234","Wilsonville","57","PORTLAND UA    ","11","U INTRST","True","001","  ","PACIFIC","2","0","MN","0","R","","000100200S00","45","17","39.420000000000000","-122","46","9.100000000000000","45.294282792347000","-122.769195281465900","","","","","01105  ","PACIFIC HY I-5              ","","09201  ","NB EXTO WLSNVL RD           ","","1","","5","283.32","65","3","STRGHT  ","False","","","False","False","False","8","","1","RSDMD","04","C","S-STRGHT  ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","000","NONE      ","True","1","STATE ","","","","","","","07","TOO-CLOS","","","","","0","0","0","False","False","False","False","False","6","25,001 to 50,000","4","URBAN HWY SYSTEM","IS","5    ","I-5       ","1","02B","293_22858","","False","2021-12-03 13:06:53","2","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","3","3","3","0","0","0","0","0","0","0","0","1","N"
"1888526","05962","2020-09-07 00:00:00","09","07","2020","2","19","7P ","26","Multnomah","242","Portland N","57","PORTLAND UA    ","11","U INTRST","True","001","  ","PACIFIC","1","6","CN","0","R","1","0001TR100S00","45","33","12.410000000000000","-122","40","42.370000000000000","45.553448326678290","-122.678435783072240","","","","","09428  ","NB EX MISSOURI C1           ","","00322  ","PACIFIC HY I-5              ","","1","","2","303.8","","5","CURVE   ","True","","","False","False","False","1","","0","NONE ","01","8","FIX OBJ   ","9","FIX     ","4","INJ","8","SMOK","1","DRY ","5","DUSK","015","ONE-WAY   ","True","3","CITY  ","045","WALL      ","010","SUB OTRN  ","","","33","RECKLESS","","","","","0","0","0","True","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","IS","5    ","I-5       ","1","02B","293_4315","","False","2021-12-03 13:33:19","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","Y"
