"ISECT_TYP_CD","ISECT_TYP_SHORT_DESC","ISECT_TYP_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"0","UNKNOWN","","2007-03-28 11:13:51","isco021 "
"1","CROSS  ","","2007-05-09 15:28:57","isco021 "
"2","2-LEG  ","","2007-05-09 15:29:00","isco021 "
"3","3-LEG  ","","2007-05-09 15:29:01","isco021 "
"4","4-LEG  ","","2007-05-09 15:29:01","isco021 "
"5","5-LEG  ","","2007-03-28 11:13:51","isco021 "
"6","6-LEG  ","","2007-03-28 11:13:51","isco021 "
"7","7-LEG  ","","2007-03-28 11:13:51","isco021 "
"8","8-LEG  ","","2007-03-28 11:13:51","isco021 "
"9","9-LEG  ","","2007-03-28 11:13:51","isco021 "
