"HWY_NO","HWY_SFX_NO","HWY_LONG_NM","HWY_MED_NM","HWY_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID","ALT_HWY_NO"
"001","  ","Pacific Highway","PACIFIC","","2016-07-11 14:47:40","Hwye85p ","  1 "
"002","  ","Columbia River Highway","COLUMBIA RIVER","","2003-03-27 00:00:00","ISCO866 ","  2 "
"003","  ","Oswego Highway","OSWEGO","","2003-03-27 00:00:00","ISCO866 ","  3 "
"004","  ","The Dalles-California Highway","THE DALLES-CALIFORNIA","","2003-03-27 00:00:00","ISCO866 ","  4 "
"005","  ","John Day Highway","JOHN DAY","","2003-03-27 00:00:00","ISCO866 ","  5 "
"006","  ","Old Oregon Trail Highway","OLD OREGON TRAIL","","2003-03-27 00:00:00","ISCO866 ","  6 "
"007","  ","Central Oregon Highway","CENTRAL OREGON","","2003-03-27 00:00:00","ISCO866 ","  7 "
"008","  ","Oregon-Washington Highway","OREGON-WASHINGTON","","2003-03-27 00:00:00","ISCO866 ","  8 "
"009","  ","Oregon Coast Highway","OREGON COAST","","2003-03-27 00:00:00","ISCO866 ","  9 "
"010","  ","Wallowa Lake Highway","WALLOWA LAKE","","2003-03-27 00:00:00","ISCO866 "," 10 "
"011","  ","Enterprise-Lewiston Highway","ENTERPRISE-LEWISTON","","2003-03-27 00:00:00","ISCO866 "," 11 "
"012","  ","Baker-Copperfield Highway","BAKER-COPPERFIELD","","2003-03-27 00:00:00","ISCO866 "," 12 "
"014","  ","Crooked River Highway","CROOKED RIVER","","2016-07-11 14:53:03","Hwye85p "," 14 "
"015","  ","Mckenzie Highway","MCKENZIE","","2016-07-11 14:09:57","Hwye85p "," 15 "
"016","  ","Santiam Highway","SANTIAM","","2003-03-27 00:00:00","ISCO866 "," 16 "
"017","  ","Mckenzie-Bend Highway","MCKENZIE-BEND","","2003-03-27 00:00:00","ISCO866 "," 17 "
"018","  ","Willamette Highway","WILLAMETTE","","2016-07-11 14:19:36","Hwye85p "," 18 "
"019","  ","Fremont Highway","FREMONT","","2003-03-27 00:00:00","ISCO866 "," 19 "
"020","  ","Klamath Falls-Lakeview Highway","KLAMATH FALLS-LAKEVIEW","","2003-03-27 00:00:00","ISCO866 "," 20 "
"021","  ","Green Springs Highway","GREEN SPRINGS","","2003-03-27 00:00:00","ISCO866 "," 21 "
"022","  ","Crater Lake Highway","CRATER LAKE","","2003-03-27 00:00:00","ISCO866 "," 22 "
"023","  ","Dairy-Bonanza Highway","DAIRY-BONANZA","","2003-03-27 00:00:00","ISCO866 "," 23 "
"025","  ","Redwood Highway","REDWOOD","","2003-03-27 00:00:00","ISCO866 "," 25 "
"026","  ","Mt. Hood Highway","MT. HOOD","","2003-03-27 00:00:00","ISCO866 "," 26 "
"027","  ","Alsea Highway","ALSEA","","2003-03-27 00:00:00","ISCO866 "," 27 "
"028","  ","Pendleton-John Day Highway","PENDLETON-JOHN DAY","","2016-07-11 14:30:38","Hwye85p "," 28 "
"029","  ","Tualatin Valley Highway","TUALATIN VALLEY","","2016-07-11 14:31:19","Hwye85p "," 29 "
"030","  ","Willamina-Salem Highway","WILLAMINA-SALEM","","2016-07-11 15:02:23","Hwye85p "," 30 "
"031","  ","Albany-Corvallis Highway","ALBANY-CORVALLIS","","2016-07-11 14:32:09","Hwye85p "," 31 "
"032","  ","Three Rivers Highway","THREE RIVERS","","2003-03-27 00:00:00","ISCO866 "," 32 "
"033","  ","Corvallis-Newport Highway","CORVALLIS-NEWPORT","","2003-03-27 00:00:00","ISCO866 "," 33 "
"035","  ","Coos Bay-Roseburg Highway","COOS BAY-ROSEBURG","","2003-03-27 00:00:00","ISCO866 "," 35 "
"036","  ","Pendleton-Cold Springs Highway","PENDLETON-COLD SPRINGS","","2003-03-27 00:00:00","ISCO866 "," 36 "
"037","  ","Wilson River Highway","WILSON RIVER","","2003-03-27 00:00:00","ISCO866 "," 37 "
"038","  ","Oregon Caves Highway","OREGON CAVES","","2003-03-27 00:00:00","ISCO866 "," 38 "
"039","  ","Salmon River Highway","SALMON RIVER","","2019-07-16 17:23:19","hwye85p "," 39 "
"040","  ","Beaverton-Hillsdale Highway","BEAVERTON-HILLSDALE","","2016-07-11 14:38:36","Hwye85p "," 40 "
"041","  ","Ochoco Highway","OCHOCO","","2003-03-27 00:00:00","ISCO866 "," 41 "
"042","  ","Sherman Highway","SHERMAN","","2003-03-27 00:00:00","ISCO866 "," 42 "
"043","  ","Monmouth-Independence Highway","MONMOUTH-INDEPENDENCE","","2003-03-27 00:00:00","ISCO866 "," 43 "
"044","  ","Wapinitia Highway","WAPINITIA","","2016-07-11 14:39:51","Hwye85p "," 44 "
"045","  ","Umpqua Highway","UMPQUA","","2016-07-11 15:06:13","Hwye85p "," 45 "
"046","  ","Necanicum Highway","NECANICUM","","2003-03-27 00:00:00","ISCO866 "," 46 "
"047","  ","Sunset Highway","SUNSET","","2003-03-27 00:00:00","ISCO866 "," 47 "
"048","  ","John Day-Burns Highway","JOHN DAY-BURNS","","2003-03-27 00:00:00","ISCO866 "," 48 "
"049","  ","Lakeview-Burns Highway","LAKEVIEW-BURNS","","2003-03-27 00:00:00","ISCO866 "," 49 "
"050","  ","Klamath Falls-Malin Highway","KLAMATH FALLS-MALIN","","2003-03-27 00:00:00","ISCO866 "," 50 "
"051","  ","Wilsonville-Hubbard Highway","WILSONVILLE-HUBBARD","","2003-03-27 00:00:00","ISCO866 "," 51 "
"052","  ","Heppner Highway","HEPPNER","","2003-03-27 00:00:00","ISCO866 "," 52 "
"053","  ","Warm Springs Highway","WARM SPRINGS","","2016-07-11 14:42:20","Hwye85p "," 53 "
"054","  ","Umatilla-Stanfield Highway","UMATILLA-STANFIELD","","2003-03-27 00:00:00","ISCO866 "," 54 "
"058","  ","Albany-Junction City Highway","ALBANY-JUNCTION CITY","","2003-03-27 00:00:00","ISCO866 "," 58 "
"059","  ","Sandy Boulevard Highway","SANDY BOULEVARD","2005-12-31 00:00:00","2008-08-22 18:18:46","Hwye85p "," 59 "
"060","  ","Rogue River Highway","ROGUE RIVER","","2003-03-27 00:00:00","ISCO866 "," 60 "
"061","  ","Stadium Freeway Highway","STADIUM FREEWAY","","2016-07-11 15:10:53","Hwye85p "," 61 "
"062","  ","Florence-Eugene Highway","FLORENCE-EUGENE","","2003-03-27 00:00:00","ISCO866 "," 62 "
"063","  ","Rogue Valley Highway","ROGUE VALLEY","","2003-03-27 00:00:00","ISCO866 "," 63 "
"064","  ","East Portland Freeway","EAST PORTLAND FREEWAY","","2003-03-27 00:00:00","ISCO866 "," 64 "
"066","  ","La Grande-Baker Highway","LA GRANDE-BAKER","","2003-03-27 00:00:00","ISCO866 "," 66 "
"067","  ","Pendleton Highway","PENDLETON","","2003-03-27 00:00:00","ISCO866 "," 67 "
"068","  ","Cascade Hwy North Highway","CASCADE HWY NORTH","","2017-05-16 11:26:40","Hwye85p "," 68 "
"069","  ","Beltline Highway","BELTLINE","","2016-07-11 15:16:58","Hwye85p "," 69 "
"070","  ","Mcnary Highway","MCNARY","","2003-03-27 00:00:00","ISCO866 "," 70 "
"071","  ","Whitney Highway","WHITNEY","","2003-03-27 00:00:00","ISCO866 "," 71 "
"072","  ","Salem Highway","SALEM","","2003-03-27 00:00:00","ISCO866 "," 72 "
"073","  ","North Umpqua Highway","NORTH UMPQUA","2003-12-31 00:00:00","2005-06-03 08:05:00","isd849  "," 73 "
"075","  ","Sunrise Expressway","SUNRISE EXPRESSWAY","","2016-06-07 14:11:09","hwye85p "," 75 "
"081","  ","Pacific Highway East","PACIFIC HIGHWAY EAST","","2016-07-11 15:20:03","Hwye85p ","  1E"
"091","  ","Pacific Highway West","PACIFIC HIGHWAY WEST","","2003-10-15 15:34:29","isco866 ","  1W"
"092","  ","Lower Columbia River Highway","LOWER COLUMBIA RIVER","","2003-10-15 15:34:42","isco866 ","  2W"
"100","  ","Historic Columbia River Highway","HISTORIC COLUMBIA RIVER","","2004-12-17 14:14:50","isco017 ","100 "
"102","  ","Nehalem Highway","NEHALEM","","2004-12-17 14:15:00","isco017 ","102 "
"103","  ","Fishhawk Falls Highway","FISHHAWK FALLS","","2004-12-17 14:15:08","isco017 ","103 "
"104","  ","Fort Stevens Highway","FORT STEVENS","","2004-12-17 14:15:15","isco017 ","104 "
"105","  ","Warrenton-Astoria Highway","WARRENTON-ASTORIA","","2004-12-17 14:15:23","isco017 ","105 "
"110","  ","Mist-Clatskanie Highway","MIST-CLATSKANIE","","2004-12-17 14:15:28","isco017 ","110 "
