"WTHR_COND_CD","WTHR_COND_LONG_DESC","WTHR_COND_MED_DESC","WTHR_COND_SHORT_DESC","WTHR_COND_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"0","Unknown","UNKWN","UNK ","","2002-03-20 00:00:00","CONVERT "
"1","Clear  ","CLEAR","CLR ","","2002-03-20 00:00:00","CONVERT "
"2","Cloudy ","CLOUD","CLD ","","2002-03-20 00:00:00","CONVERT "
"3","Rain   ","RAIN ","RAIN","","2002-03-20 00:00:00","CONVERT "
"4","Sleet  ","SLEET","SLT ","","2002-03-20 00:00:00","CONVERT "
"5","Fog    ","FOG  ","FOG ","","2002-03-20 00:00:00","CONVERT "
"6","Snow   ","SNOW ","SNOW","","2002-03-20 00:00:00","CONVERT "
"7","Dust   ","DUST ","DUST","","2002-03-20 00:00:00","CONVERT "
"8","Smoke  ","SMOKE","SMOK","","2002-03-20 00:00:00","CONVERT "
"9","Ash    ","ASH  ","ASH ","","2002-03-20 00:00:00","CONVERT "
