"CRASH_ID","SER_NO","CRASH_DT","CRASH_MO_NO","CRASH_DAY_NO","CRASH_YR_NO","CRASH_WK_DAY_CD","CRASH_HR_NO","CRASH_HR_SHORT_DESC","CNTY_ID","CNTY_NM","CITY_SECT_ID","CITY_SECT_NM","URB_AREA_CD","URB_AREA_SHORT_NM","FC_CD","FC_SHORT_DESC","NHS_FLG","HWY_NO","HWY_SFX_NO","HWY_MED_NM","RDWY_NO","HWY_COMPNT_CD","HWY_COMPNT_SHORT_DESC","MLGE_TYP_CD","MLGE_TYP_SHORT_DESC","RD_CON_NO","LRS_VAL","LAT_DEG_NO","LAT_MINUTE_NO","LAT_SEC_NO","LONGTD_DEG_NO","LONGTD_MINUTE_NO","LONGTD_SEC_NO","LAT_DD","LONGTD_DD","SPECL_JRSDCT_ID","SPECL_JRSDCT_SHORT_DESC","JRSDCT_GRP_CD","JRSDCT_GRP_LONG_DESC","AGY_ST_NO","ST_FULL_NM","RECRE_RD_NM","ISECT_AGY_ST_NO","ISECT_ST_FULL_NM","ISECT_RECRE_RD_NM","ISECT_SEQ_NO","FROM_ISECT_DSTNC_QTY","CMPSS_DIR_CD","MP_NO","POST_SPEED_LMT_VAL","RD_CHAR_CD","RD_CHAR_SHORT_DESC","OFF_RDWY_FLG","ISECT_TYP_CD","ISECT_TYP_SHORT_DESC","ISECT_REL_FLG","RNDABT_FLG","DRVWY_REL_FLG","LN_QTY","TURNG_LEG_QTY","MEDN_TYP_CD","MEDN_TYP_SHORT_DESC","IMPCT_LOC_CD","CRASH_TYP_CD","CRASH_TYP_SHORT_DESC","COLLIS_TYP_CD","COLLIS_TYP_SHORT_DESC","CRASH_SVRTY_CD","CRASH_SVRTY_SHORT_DESC","WTHR_COND_CD","WTHR_COND_SHORT_DESC","RD_SURF_COND_CD","RD_SURF_SHORT_DESC","LGT_COND_CD","LGT_COND_SHORT_DESC","TRAF_CNTL_DEVICE_CD","TRAF_CNTL_DEVICE_SHORT_DESC","TRAF_CNTL_FUNC_FLG","INVSTG_AGY_CD","INVSTG_AGY_SHORT_DESC","CRASH_EVNT_1_CD","CRASH_EVNT_1_SHORT_DESC","CRASH_EVNT_2_CD","CRASH_EVNT_2_SHORT_DESC","CRASH_EVNT_3_CD","CRASH_EVNT_3_SHORT_DESC","CRASH_CAUSE_1_CD","CRASH_CAUSE_1_SHORT_DESC","CRASH_CAUSE_2_CD","CRASH_CAUSE_2_SHORT_DESC","CRASH_CAUSE_3_CD","CRASH_CAUSE_3_SHORT_DESC","SCHL_ZONE_IND","WRK_ZONE_IND","ALCHL_INVLV_FLG","DRUG_INVLV_FLG","MJ_INVLV_FLG","CRASH_SPEED_INVLV_FLG","CRASH_HIT_RUN_FLG","POP_RNG_CD","POP_RNG_MED_DESC","RD_CNTL_CD","RD_CNTL_MED_DESC","RTE_TYP_CD","RTE_ID","RTE_NM","REG_ID","DIST_ID","SEG_MRK_ID","SEG_PT_LRS_MEAS","UNLOCT_FLG","CRASH_LAST_UD_DT","TOT_VHCL_CNT","TOT_FATAL_CNT","TOT_INJ_LVL_A_CNT","TOT_INJ_LVL_B_CNT","TOT_INJ_LVL_C_CNT","TOT_INJ_CNT","TOT_UNINJD_AGE00_04_CNT","TOT_UNINJD_PER_CNT","TOT_PED_CNT","TOT_PED_FATAL_CNT","TOT_PED_INJ_LVL_A_CNT","TOT_PED_INJ_CNT","TOT_PEDCYCL_CNT","TOT_PEDCYCL_FATAL_CNT","TOT_PEDCYCL_INJ_LVL_A_CNT","TOT_PEDCYCL_INJ_CNT","TOT_UNKNWN_CNT","TOT_UNKNWN_FATAL_CNT","TOT_UNKNWN_INJ_CNT","TOT_OCCUP_CNT","TOT_PER_INVLV_CNT","TOT_SFTY_EQUIP_USED_QTY","TOT_SFTY_EQUIP_UNUSED_QTY","TOT_SFTY_EQUIP_USE_UNKNOWN_QTY","TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT","TOT_MCYCLST_FATAL_CNT","TOT_MCYCLST_INJ_LVL_A_CNT","TOT_MCYCLST_INJ_CNT","TOT_MCYCLST_UNHELMTD_FATAL_CNT","TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT","TOT_DRVR_AGE_01_20_CNT","LANE_RDWY_DPRT_CRASH_FLG"
"1724284","01578","2017-04-24 00:00:00","04","24","2017","2","12","12P","24","Marion","184","Salem","67","SALEM-KZ UA    ","14","U PR-ART","True","","","","","","","","","","","44","57","4.430000000000000","-122","59","1.350000000000000","44.951230555555000","-122.983708333333333","","","","","01408  ","LANCASTER DR NE             ","","01520  ","MARKET ST NE                ","","1","322","1","","","3","STRGHT  ","False","","","True","False","False","4","","0","NONE ","08","E","S-1STOP   ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","3","CITY  ","","","","","","","27","INATTENT","07","TOO-CLOS","","","0","0","False","False","False","False","False","8","100,001 to 200,000","3","URBAN CITY STREET ","","","","2","03 ","53_10005556","386.829229006519","False","2018-08-08 08:46:56","2","0","0","0","1","1","1","4","0","0","0","0","0","0","0","0","0","0","0","5","5","3","1","1","0","0","0","0","0","0","1","N"
"1724309","00238","2017-01-16 00:00:00","01","16","2017","2","13","1P ","20","Lane","64","Eugene","25","EUGN-SPR UA    ","14","U PR-ART","True","227","  ","EUGENE-SPRINGFIELD","1","6","CN","0","R","1","0227AI100S00","44","3","36.310000000000000","-123","4","55.560000000000000","44.060086111111000","-123.082099999999667","","","","","00422  ","CENTENNIAL / MLK JR         ","","00445  ","COBURG RD                   ","","1","","6","1.8","30","1","INTER   ","False","1","CROSS  ","False","False","False","","2","","","06","E","S-1STOP   ","3","REAR    ","4","INJ","2","CLD ","2","WET ","1","DAY ","001","TRF SIGNAL","True","0","NONE  ","","","","","","","29","F AVOID ","","","","","0","0","False","False","False","False","False","8","100,001 to 200,000","4","URBAN HWY SYSTEM","IS","105  ","IS 105    ","2","05 ","293_10065","375.297200000001","False","2018-08-07 17:39:24","2","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","N"
"1724318","14416","2017-12-24 00:00:00","12","24","2017","1","18","6P ","26","Multnomah","243","Portland NE","57","PORTLAND UA    ","11","U INTRST","True","002","  ","COLUMBIA RIVER","2","0","MN","0","R","","000200200S00","45","34","19.330000000000000","-122","36","38.170000000000000","45.572036111110667","-122.610602777777000","","","","","00305  ","BANFIELD FY                 ","","00000  ","                            ","","","","0","999.99","","3","STRGHT  ","False","","","False","False","False","6","","1","RSDMD","07","C","S-STRGHT  ","5","SS-O    ","5","PDO","0","UNK ","4","ICE ","2","DLIT","099","UNKNOWN   ","True","5","NO RPT","089","OTHR CRASH","","","","","05","LEFT-CTR","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","","","","1","02B","","","True","2018-08-08 09:08:03","2","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","6","6","6","0","0","0","0","0","0","0","0","0","N"
"1724343","04630","2017-05-02 00:00:00","05","02","2017","3","15","3P ","26","Multnomah","247","Portland SW","57","PORTLAND UA    ","12","U FWY/XP","True","047","  ","SUNSET","1","0","MN","0","R","","004700100S00","45","30","28.460000000000000","-122","43","19.200000000000000","45.507905555555000","-122.721999999999667","","","","","02950  ","EB SUNSET HY                ","","09604  ","EB EX KNIGHTS BV C1         ","","1","","7","72.01","50","3","STRGHT  ","False","","","False","False","False","7","","1","RSDMD","03","C","S-STRGHT  ","3","REAR    ","5","PDO","0","UNK ","0","UNK ","1","DAY ","099","UNKNOWN   ","True","0","NONE  ","","","","","","","29","F AVOID ","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","US","26   ","US 26     ","1","02B","293_6531","2915.3449251191","False","2018-08-08 09:08:04","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","2","0","0","0","0","0","0","0","N"
"1724352","00266","2017-01-20 00:00:00","01","20","2017","6","09","9A ","20","Lane","64","Eugene","25","EUGN-SPR UA    ","17","U MJ-COL","False","","","","","","","","","","","44","4","49.010000000000000","-123","4","4.580000000000000","44.080280555554667","-123.067938888888667","","","","","02726  ","WILLAKENZIE RD              ","","00445  ","COBURG RD                   ","","1","50","7","","30","3","STRGHT  ","False","","","True","False","False","4","","0","NONE ","06","E","S-1STOP   ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","001","TRF SIGNAL","True","0","NONE  ","","","","","","","29","F AVOID ","","","","","0","0","False","False","False","False","False","8","100,001 to 200,000","3","URBAN CITY STREET ","","","","2","05 ","277_3966","2010.33137893768","False","2018-08-07 17:39:24","2","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","1","N"
"1724386","04624","2017-05-02 00:00:00","05","02","2017","3","20","8P ","26","Multnomah","243","Portland NE","57","PORTLAND UA    ","11","U INTRST","True","002","  ","COLUMBIA RIVER","1","0","MN","0","R","","000200100S00","45","32","3.480000000000000","-122","35","29.340000000000000","45.534299999999333","-122.591483333333333","","","","","00305  ","BANFIELD FY                 ","","09522  ","EB EX HALSY-68TH C1         ","","1","","2","4.37","55","3","STRGHT  ","False","","","False","False","False","6","","1","RSDMD","03","C","S-STRGHT  ","3","REAR    ","5","PDO","3","RAIN","2","WET ","2","DLIT","099","UNKNOWN   ","True","0","NONE  ","","","","","","","29","F AVOID ","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","IS","84   ","I-84      ","1","02B","293_3788","1318.09597616053","False","2018-08-08 09:08:02","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","2","0","0","0","0","0","0","0","N"
"1724420","07810","2017-12-07 00:00:00","12","07","2017","5","13","1P ","34","Washington","211","Tigard","57","PORTLAND UA    ","11","U INTRST","True","001","  ","PACIFIC","1","0","MN","0","R","","000100100S00","45","24","3.440000000000000","-122","44","43.630000000000000","45.400955555555000","-122.745452777777333","","","","","01105  ","PACIFIC HY I-5              ","","09401  ","SB EX L BOONES F C4         ","","1","","1","290.8","55","7","GRADE   ","False","","","False","False","False","8","","1","RSDMD","09","C","S-STRGHT  ","3","REAR    ","4","INJ","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","5","NO RPT","","","","","","","29","F AVOID ","","","","","","","False","False","False","False","False","7","50,001 to 100,000","4","URBAN HWY SYSTEM","IS","5    ","I-5       ","1","02B","293_2850","515.961189455895","False","2018-08-08 08:54:47","2","0","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","3","3","3","0","0","0","0","0","0","0","0","0","N"
"1724518","13361","2017-12-01 00:00:00","12","01","2017","6","15","3P ","26","Multnomah","243","Portland NE","57","PORTLAND UA    ","11","U INTRST","True","001","  ","PACIFIC","1","0","MN","0","R","","000100100S00","45","31","49.360000000000000","-122","39","55.260000000000000","45.530377777777667","-122.665350000000000","","","","","00302  ","PACIFIC HY I-5              ","","09435  ","SB EF WILLIAMS C5           ","","1","","5","301.99","50","4","TRANS   ","False","","","False","False","False","6","","1","RSDMD","08","C","S-STRGHT  ","5","SS-O    ","5","PDO","1","CLR ","1","DRY ","1","DAY ","017","MEDIAN BAR","True","0","NONE  ","","","","","","","13","IMP LN C","","","","","","","False","False","False","False","False","9","Over 200,000","2","PORTLAND HWY SYSTEM","IS","5    ","I-5       ","1","02B","293_2886","614.335223015789","False","2018-08-08 09:08:03","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","2","0","0","0","0","0","0","0","N"
"1724552","14581","2017-12-28 00:00:00","12","28","2017","5","16","4P ","26","Multnomah","247","Portland SW","57","PORTLAND UA    ","12","U FWY/XP","True","047","  ","SUNSET","1","1","CP","0","R","","004700100S00","45","30","55.980000000000000","-122","41","43.930000000000000","45.515550000000000","-122.695536111110333","","","","","02950  ","EB SUNSET HY                ","","09565  ","NB EF SUNSET HY C1          ","","1","","7","73.63","50","9","TUNNEL  ","False","","","False","False","False","3","","0","NONE ","04","E","S-1STOP   ","3","REAR    ","4","INJ","3","RAIN","2","WET ","5","DUSK","015","ONE-WAY   ","True","3","CITY  ","","","","","","","01","TOO-FAST","","","","","0","0","False","False","False","True","True","9","Over 200,000","2","PORTLAND HWY SYSTEM","US","26   ","US 26     ","1","02B","293_6659","3499.2906429118","False","2018-09-05 15:34:03","2","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","0","0","0","0","0","N"
"1724586","02716","2017-07-07 00:00:00","07","07","2017","6","15","3P ","03","Clackamas","","","57","PORTLAND UA    ","11","U INTRST","True","064","  ","EAST PORTLAND FREEWAY","1","0","MN","0","R","","006400100S00","45","27","5.210000000000000","-122","34","19.730000000000000","45.451447222222000","-122.572147222221667","","","","","","                            ","","","                            ","","","","0","15.88","55","3","STRGHT  ","False","","","False","False","False","8","","2","DIVMD","03","C","S-STRGHT  ","5","SS-O    ","5","PDO","1","CLR ","1","DRY ","1","DAY ","099","UNKNOWN   ","True","0","NONE  ","","","","","","","13","IMP LN C","","","","","","","False","False","False","False","False","","","8","SUBURBAN HWY SYSTEM","IS","205  ","IS 205    ","1","02B","293_3391","4080.53653484189","False","2018-04-30 11:20:43","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","5","4","0","1","0","0","0","0","0","0","0","N"
