"IMPCT_LOC_CD","IMPCT_LOC_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"00","","2002-03-20 00:00:00","CONVERT "
"01","","2002-03-20 00:00:00","CONVERT "
"02","","2002-03-20 00:00:00","CONVERT "
"03","","2002-03-20 00:00:00","CONVERT "
"04","","2002-03-20 00:00:00","CONVERT "
"05","","2002-03-20 00:00:00","CONVERT "
"06","","2002-03-20 00:00:00","CONVERT "
"07","","2002-03-20 00:00:00","CONVERT "
"08","","2002-03-20 00:00:00","CONVERT "
"09","","2002-03-20 00:00:00","CONVERT "
"10","","2002-03-20 00:00:00","CONVERT "
"11","","2002-03-20 00:00:00","CONVERT "
"12","","2002-03-20 00:00:00","CONVERT "
"13","","2002-03-20 00:00:00","CONVERT "
"14","","2002-03-20 00:00:00","CONVERT "
