"MVMNT_CD","MVMNT_LONG_DESC","MVMNT_MED_DESC","MVMNT_SHORT_DESC","MVMNT_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"0","Unknown","UNKNOWN","UNK   ","","2002-03-20 00:00:00","CONVERT "
"1","Straight Ahead","STRAIGHT","STRGHT","","2002-03-20 00:00:00","CONVERT "
"2","Turning Right","TURN-R","TURN-R","","2002-03-20 00:00:00","CONVERT "
"3","Turning Left","TURN-L","TURN-L","","2002-03-20 00:00:00","CONVERT "
"4","Making a U-Turn","U-TURN","U-TURN","","2002-03-20 00:00:00","CONVERT "
"5","Backing","BACKING","BACK  ","","2002-03-20 00:00:00","CONVERT "
"6","Stopped in Traffic","STOPPED ","STOP  ","","2002-03-20 00:00:00","CONVERT "
"7","Parked - properly","PARKED - PR","PRKD-P","","2002-03-20 00:00:00","CONVERT "
"8","Parked - improperly","PARKED - IMP","PRKD-I","","2002-03-20 00:00:00","CONVERT "
"9","Parking maneuver","PARKING ","PARKNG","","2002-03-20 00:00:00","CONVERT "
