"VHCL_USE_CD","VHCL_USE_LONG_DESC","VHCL_USE_SHORT_DESC","VHCL_USE_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"0","No Special Use","NONE  ","","2005-12-29 14:21:40","isd849  "
"1","Police","POLCE ","","2002-03-20 00:00:00","CONVERT "
"2","Fire","FIRE  ","","2002-03-20 00:00:00","CONVERT "
"3","Ambulance","AMBLN ","","2002-03-20 00:00:00","CONVERT "
"4","Hearse","HRSE  ","","2002-03-20 00:00:00","CONVERT "
"5","Taxi","TAXI  ","","2002-03-20 00:00:00","CONVERT "
"6","Logging","LOG   ","","2002-03-20 00:00:00","CONVERT "
"7","Farm","FARM  ","","2002-03-20 00:00:00","CONVERT "
"8","Military","MLTRY ","","2002-03-20 00:00:00","CONVERT "
"9","Unknown Use","UNKN  ","","2002-03-20 00:00:00","CONVERT "
