"CAUSE_CD","CAUSE_LONG_DESC","CAUSE_MED_DESC","CAUSE_SHORT_DESC","CAUSE_CRASH_VALID_FLG","CAUSE_PARTIC_VALID_FLG","CAUSE_VHCL_VALID_FLG","CAUSE_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"00","No cause associated at this level","NO CODE APPLICABLE","NO CODE ","True","True","True","","2007-07-19 12:37:28","isco017 "
"01","Too fast for conditions (not exceed posted speed)","TOO FAST FOR COND","TOO-FAST","True","True","False","","2006-05-19 11:16:30","isd849  "
"02","Did not yield right-of-way","FAILED YIELD ROW","NO-YIELD","True","True","False","","2002-03-20 00:00:00","CONVERT "
"03","Passed stop sign or red flasher","PASSED STOP SIGN","PAS-STOP","True","True","False","","2002-03-20 00:00:00","CONVERT "
"04","Disregarded traffic signal","DISREGRD TRAF SIGNAL","DIS SIG ","True","True","False","","2014-08-19 12:47:05","Hwye85p "
"05","Drove left of center on two-way road; straddling","LEFT OF CTR/STRADDLE","LEFT-CTR","True","True","False","","2014-08-19 12:31:23","Hwye85p "
"06","Improper overtaking","IMPROPER PASSING","IMP-OVER","True","True","False","","2002-03-20 00:00:00","CONVERT "
"07","Followed too closely","FOLLOW TOO CLOSE","TOO-CLOS","True","True","False","","2002-03-20 00:00:00","CONVERT "
"08","Made improper turn","IMPROPER TURN","IMP-TURN","True","True","False","","2002-03-20 00:00:00","CONVERT "
"09","Alcohol or Drug Involved","ALC OR DRUGS","DRINKING","True","True","False","2002-12-31 00:00:00","2019-03-13 17:44:49","Hwye85p "
"10","Other improper driving","OTHER DRIVE ERR","OTHR-IMP","True","True","False","","2002-03-20 00:00:00","CONVERT "
"11","Mechanical defect","MECH DEFECT","MECH-DEF","True","False","True","","2002-03-20 00:00:00","CONVERT "
"12","Other (not improper driving)","OTHER","OTHER   ","True","True","False","","2002-03-20 00:00:00","CONVERT "
"13","Improper change of traffic lanes","IMP LANE CHANGE","IMP LN C","True","True","False","","2004-05-21 09:00:50","isd849  "
"14","Disregarded other traffic control device","DISRG OTHR TCD","DIS TCD ","True","True","False","","2006-05-19 11:17:59","isd849  "
"15","Wrong way on one-way road; wrong side divided road","WRONG WAY / 1-WAY RD","WRNG WAY","True","True","False","","2014-08-19 15:13:42","Hwye85p "
"16","Driver drowsy/fatigued/sleepy","DRIVER FATIGUED","FATIGUE ","True","True","False","","2006-05-19 11:19:19","isd849  "
"17","Physical illness","PHYSICAL ILLNESS","ILLNESS ","True","True","False","","2014-08-19 15:09:51","hwye85p "
"18","Non-motorist illegally in roadway","ILLEGALLY IN RDWY","IN RDWY ","True","True","False","","2006-05-19 11:19:51","isd849  "
"19","Non-motorist not visible; non-reflective clothing","NOT VISIBLE","NT VISBL","True","True","False","","2016-10-20 14:16:35","Hwye85p "
"20","Vehicle improperly parked","IMPROPER PARKING","IMP PKNG","True","False","True","","2002-03-20 00:00:00","CONVERT "
"21","Defective steering mechanism","DEFECTIVE STEERING","DEF STER","True","False","True","","2002-03-20 00:00:00","CONVERT "
"22","Inadequate or no brakes","DEFECTIVE BRAKES","DEF BRKE","True","False","True","","2002-03-20 00:00:00","CONVERT "
"24","Vehicle lost load or load shifted","LOAD SHIFTED","LOADSHFT","True","False","True","","2004-05-21 09:02:21","isd849  "
"25","Tire Failure","TIRE FAILURE","TIREFAIL","True","False","True","","2002-03-20 00:00:00","CONVERT "
"26","Phantom / Non-contact Vehicle","PHANTOM VEHICLE","PHANTOM ","True","True","True","","2003-07-11 00:00:00","ISCO866 "
"27","Inattention","INATTENTION","INATTENT","True","True","False","","2002-03-20 00:00:00","CONVERT "
"28","Non-Motorist Inattention","NON-MTRST INATTENT","NM INATT","True","True","False","","2014-10-09 08:49:01","hwye85p "
"29","Failed to avoid vehicle ahead","FAIL AVOID VEH AHEAD","F AVOID ","True","True","False","","2014-08-19 12:55:12","hwye85p "
"30","Driving in excess of posted speed","EXCED POSTED SPEED","SPEED   ","True","True","False","","2006-05-19 11:21:06","isd849  "
"31","Speed Racing (per PAR)","SPEED RACING","RACING  ","True","True","False","","2006-05-19 11:21:34","isd849  "
"32","Careless Driving (per PAR)","CARELESS DRIVING","CARELESS","True","True","False","","2011-11-04 09:28:48","Hwye85p "
"33","Reckless Driving (per PAR)","RECKLESS DRIVING","RECKLESS","True","True","False","","2011-11-04 09:28:49","Hwye85p "
"34","Aggressive Driving (per PAR)","AGGRESSIVE DRIVING","AGGRESV ","True","True","False","","2006-05-19 11:23:51","isd849  "
"35","Road Rage (per PAR)","ROAD RAGE","RD RAGE ","True","False","False","","2006-05-19 11:24:23","isd849  "
"40","View obscured","VIEW OBSCURED","VIEW OBS","True","True","False","","2014-08-19 12:47:00","hwye85p "
"50","Improper use of median or shoulder","IMP USE MEDIAN/SHLDR","USED MDN","True","True","False","","2014-08-19 12:49:06","hwye85p "
"51","Failed to maintain lane","F MAINT LANE","FAIL LN ","False","False","False","2015-12-31 00:00:00","2018-03-07 11:56:28","Hwye85p "
"52","Ran off road","RAN OFF RD","OFF RD  ","False","False","False","2015-12-31 00:00:00","2018-03-07 11:56:28","Hwye85p "
