"CMPSS_DIR_CD","CMPSS_DIR_SHORT_DESC","CMPSS_DIR_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"0","UN","","2002-03-20 00:00:00","CONVERT "
"1","N ","","2002-03-20 00:00:00","CONVERT "
"2","NE","","2002-03-20 00:00:00","CONVERT "
"3","E ","","2002-03-20 00:00:00","CONVERT "
"4","SE","","2002-03-20 00:00:00","CONVERT "
"5","S ","","2002-03-20 00:00:00","CONVERT "
"6","SW","","2002-03-20 00:00:00","CONVERT "
"7","W ","","2002-03-20 00:00:00","CONVERT "
"8","NW","","2002-03-20 00:00:00","CONVERT "
"9","CN","","2002-03-20 00:00:00","CONVERT "
