"CNTY_ID","CNTY_NM","FIPS_CNTY_ID","CNTY_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"01","Baker","000","","2002-12-01 00:00:00","ISCO866 "
"02","Benton","003","","2002-12-01 00:00:00","ISCO866 "
"03","Clackamas","005","","2002-12-01 00:00:00","ISCO866 "
"04","Clatsop","007","","2002-12-01 00:00:00","ISCO866 "
"05","Columbia","009","","2002-12-01 00:00:00","ISCO866 "
"06","Coos","011","","2002-12-01 00:00:00","ISCO866 "
"07","Crook","013","","2002-12-01 00:00:00","ISCO866 "
"08","Curry","015","","2002-12-01 00:00:00","ISCO866 "
"09","Deschutes","017","","2002-12-01 00:00:00","ISCO866 "
"10","Douglas","019","","2002-12-01 00:00:00","ISCO866 "
"11","Gilliam","021","","2002-12-01 00:00:00","ISCO866 "
"12","Grant","023","","2002-12-01 00:00:00","ISCO866 "
"13","Harney","025","","2002-12-01 00:00:00","ISCO866 "
"14","Hood River","027","","2002-12-01 00:00:00","ISCO866 "
"15","Jackson","029","","2002-12-01 00:00:00","ISCO866 "
"16","Jefferson","031","","2002-12-01 00:00:00","ISCO866 "
"17","Josephine","033","","2002-12-01 00:00:00","ISCO866 "
"18","Klamath","035","","2002-12-01 00:00:00","ISCO866 "
"19","Lake","037","","2002-12-01 00:00:00","ISCO866 "
"20","Lane","039","","2002-12-01 00:00:00","ISCO866 "
"21","Lincoln","041","","2002-12-01 00:00:00","ISCO866 "
"22","Linn","043","","2002-12-01 00:00:00","ISCO866 "
"23","Malheur","045","","2002-12-01 00:00:00","ISCO866 "
"24","Marion","047","","2002-12-01 00:00:00","ISCO866 "
"25","Morrow","049","","2002-12-01 00:00:00","ISCO866 "
"26","Multnomah","051","","2002-12-01 00:00:00","ISCO866 "
"27","Polk","053","","2002-12-01 00:00:00","ISCO866 "
"28","Sherman","055","","2002-12-01 00:00:00","ISCO866 "
"29","Tillamook","057","","2002-12-01 00:00:00","ISCO866 "
"30","Umatilla","059","","2002-12-01 00:00:00","ISCO866 "
"31","Union","061","","2002-12-01 00:00:00","ISCO866 "
"32","Wallowa","063","","2002-12-01 00:00:00","ISCO866 "
"33","Wasco","065","","2002-12-01 00:00:00","ISCO866 "
"34","Washington","067","","2002-12-01 00:00:00","ISCO866 "
"35","Wheeler","069","","2002-12-01 00:00:00","ISCO866 "
"36","Yamhill","071","","2002-12-01 00:00:00","ISCO866 "
