"COLLIS_TYP_CD","COLLIS_TYP_LONG_DESC","COLLIS_TYP_ALT_LONG_DESC","COLLIS_TYP_MED_DESC","COLLIS_TYP_SHORT_DESC","COLLIS_TYP_SORT_ORDR_NO","COLLIS_TYP_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"&","Miscellaneous","MISCELLANEOUS","OTHER","OTH     ","12","","2002-03-20 00:00:00","CONVERT "
"-","Backing","BACKING","BACKING","BACK    ","11","","2002-03-20 00:00:00","CONVERT "
"0","Pedestrian","PEDESTRIAN","PED     ","PED     ","10","","2002-03-20 00:00:00","CONVERT "
"1","Angle","ANGLE","ANGLE","ANGL    ","1","","2002-03-20 00:00:00","CONVERT "
"2","Head-On","HEAD-ON","HEAD-ON","HEAD    ","2","","2002-03-20 00:00:00","CONVERT "
"3","Rear-End","REAR-END","REAR-END","REAR    ","3","","2002-03-20 00:00:00","CONVERT "
"4","Sideswipe - Meeting","SIDESWIPE - MEETING","SS-MEET","SS-M    ","4","","2002-03-20 00:00:00","CONVERT "
"5","Sideswipe - Overtaking","SIDESWIPE - OVERTAKING","SS-OVER","SS-O    ","5","","2002-03-20 00:00:00","CONVERT "
"6","Turning movement","TURNING MOVEMENTS","TURNING ","TURN    ","6","","2002-03-20 00:00:00","CONVERT "
"7","Parking Maneuver","PARKING MOVEMENTS","PARKING ","PARK    ","7","","2002-03-20 00:00:00","CONVERT "
"8","Non-collision","NON-COLLISION","NON-COLL","NCOL    ","8","","2002-03-20 00:00:00","CONVERT "
"9","Fixed Object or Other Object","FIXED / OTHER OBJECT","FIXED OBJ","FIX     ","9","","2002-03-20 00:00:00","CONVERT "
