"CRASH_TYP_CD","CRASH_TYP_LONG_DESC","CRASH_TYP_MED_DESC","CRASH_TYP_SHORT_DESC","CRASH_TYP_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"&","Overturned","OVERTURNED","OVERTURN  ","","2002-03-20 00:00:00","CONVERT "
"0","Other non-collision","OTHER NON-COLLISION","NON-COLL  ","","2002-03-20 00:00:00","CONVERT "
"1","Motor vehicle on other roadway","MV ON OTHER RDWY","OTH RDWY  ","","2002-03-20 00:00:00","CONVERT "
"2","Parked motor vehicle","PARKED VEHICLE","PRKD MV   ","","2002-03-20 00:00:00","CONVERT "
"3","Pedestrian","PEDESTRIAN","PED       ","","2002-03-20 00:00:00","CONVERT "
"4","Railway train","TRAIN","TRAIN     ","","2002-03-20 00:00:00","CONVERT "
"6","Pedalcyclist","PEDALCYCLIST","BIKE      ","","2002-03-20 00:00:00","CONVERT "
"7","Animal","ANIMAL","ANIMAL    ","","2002-03-20 00:00:00","CONVERT "
"8","Fixed Object","FIXED OBJECT","FIX OBJ   ","","2002-03-20 00:00:00","CONVERT "
"9","Other object","OTHER OBJECT","OTH OBJ   ","","2002-03-20 00:00:00","CONVERT "
"A","Entering at angle - one vehicle stopped","ANGLE - 1 VEH STP","ANGL-STP  ","","2002-03-20 00:00:00","CONVERT "
"B","Entering at angle - all others","ANGLE - ALL OTHR","ANGL-OTH  ","","2002-03-20 00:00:00","CONVERT "
"C","From same direction - both going straight","1 DIR - BOTH STRGHT","S-STRGHT  ","","2002-03-20 00:00:00","CONVERT "
"D","From same direction - one turn, one straight","1 DIR - 1TURN, 1 STR","S-1TURN   ","","2002-03-20 00:00:00","CONVERT "
"E","From same direction - one stopped","1 DIR - 1 STOPPED","S-1STOP   ","","2002-03-20 00:00:00","CONVERT "
"F","From same direction-all others, including parking","1 DIR - ALL OTHERS","S-OTHER   ","","2002-03-20 00:00:00","CONVERT "
"G","From opposite direction - both going straight","OPP - BOTH STRGHT","O-STRGHT  ","","2016-03-15 14:36:17","Hwye85p "
"H","From opposite direction-one left turn,one straight","OPP - 1 L-TURN 1 STR","O-1 L-TURN","","2016-03-15 14:36:17","Hwye85p "
"I","From opposite direction - one stopped","OPP - 1 STOPPED","O-1STOP   ","","2002-03-20 00:00:00","CONVERT "
"J","From opposite direction-all others incl. parking","OPP - ALL OTHERS","O-OTHER   ","","2016-03-15 14:36:17","Hwye85p "
