"NON_MOTRST_LOC_CD","NON_MOTRST_LOC_LONG_DESC","NON_MOTRST_LOC_MED_DESC","NON_MOTRST_LOC_SHORT_DESC","NON_MOTRST_LOC_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"00","At intersection - not in roadway","INT NOT IN RD","I N/RD   ","","2003-08-09 00:00:00","CONVERT "
"01","At intersection - inside crosswalk","INT IN X-WALK","I XWLK   ","","2003-08-09 00:00:00","CONVERT "
"02","At intersection - in roadway, outside crosswalk","INT IN RDWY","I INRD   ","","2003-08-09 00:00:00","CONVERT "
"03","At intersection - in roadway, xwalk avail unknwn","INT IN RD/X-WALK?","I XWK?   ","","2003-08-09 00:00:00","CONVERT "
"04","Not at intersection - in roadway","IN ROADWAY","ROAD     ","","2003-08-09 00:00:00","CONVERT "
"05","Not at intersection - on shoulder","SHOULDER","SHLDR    ","","2003-08-09 00:00:00","CONVERT "
"06","Not at intersection - on median","ON MEDIAN","MEDIAN   ","","2003-08-09 00:00:00","CONVERT "
"07","Not at intersection - within traffic right-of-way","BEYOND SHOULDER","B/SHLD   ","","2003-08-09 00:00:00","CONVERT "
"08","Not at intersection - in bike path or parking lane","BIKE PATH","BKPATH   ","2015-10-30 00:00:00","2016-02-11 15:54:49","Hwye85p "
"09","Not-at intersection - on sidewalk","SIDEWALK","SIDEWK   ","","2003-08-09 00:00:00","CONVERT "
"10","Outside trafficway boundaries","BEYOND TRAFFICWAY","B/TRAF   ","","2003-08-09 00:00:00","CONVERT "
"13","At Intersection - in bike lane","INT BIKE LANE","I-BIKE LN","","2016-02-11 15:54:49","Hwye85p "
"14","Not at Intersection - in bike lane","BIKE LANE","BIKE LN  ","","2016-02-11 15:53:22","hwye85p "
"15","Not at intersection - inside mid-block crosswalk","MID-BLOCK X-WALK","MDBLK XWK","","2004-05-21 09:07:19","isd849  "
"16","Not at Intersection - in parking lane","PARKING LANE","PARKG LN ","","2016-02-11 15:53:52","hwye85p "
"18","Other, not in roadway","OTHR NOT IN RD","O N/RD   ","","2003-08-09 00:00:00","CONVERT "
"99","Unknown location","UNKNOWN","UNK      ","","2003-08-09 00:00:00","CONVERT "
