"PARTIC_TYP_CD","PARTIC_TYP_LONG_DESC","PARTIC_TYP_MED_DESC","PARTIC_TYP_SHORT_DESC","PARTIC_TYP_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"0","Unknown occupant type","UNK OCC","OCC ","","2005-12-29 14:17:58","isd849  "
"1","Driver","DRIVER","DRVR","","2002-03-20 00:00:00","CONVERT "
"2","Passenger","PASSENGER","PSNG","","2002-03-20 00:00:00","CONVERT "
"3","Pedestrian","PEDESTRIAN","PED ","","2002-03-20 00:00:00","CONVERT "
"4","Pedestrian using a pedestrian conveyance","PED CONVEYANCE","CONV","","2002-03-20 00:00:00","CONVERT "
"5","Pedestrian towing or trailering an object, etc","PED TOW","PTOW","","2002-03-20 00:00:00","CONVERT "
"6","Pedalcyclist","PEDALCYCLIST","BIKE","","2002-03-20 00:00:00","CONVERT "
"7","Pedalcyclist towing or trailering an object, etc","BIKE-TOW","BTOW","","2002-03-20 00:00:00","CONVERT "
"8","Occupant of a parked motor vehicle ","OCC PRKD MV","PRKD","","2002-03-20 00:00:00","CONVERT "
"9","Other type of non-motorist","OTHER NON-MOTRST","OTHR","","2019-01-30 16:36:35","Hwye85p "
