"POP_RNG_CD","POP_RNG_MED_DESC","POP_RNG_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"0","1 to 500","","2002-03-20 00:00:00","CONVERT "
"1","501 to 1,000","","2002-03-20 00:00:00","CONVERT "
"2","1,001 to 2,500","","2002-03-20 00:00:00","CONVERT "
"3","2,501 to 5,000","","2002-03-20 00:00:00","CONVERT "
"4","5,001 to 10,000","","2002-03-20 00:00:00","CONVERT "
"5","10,001 to 25,000","","2002-03-20 00:00:00","CONVERT "
"6","25,001 to 50,000","","2002-03-20 00:00:00","CONVERT "
"7","50,001 to 100,000","","2002-03-20 00:00:00","CONVERT "
"8","100,001 to 200,000","","2002-03-20 00:00:00","CONVERT "
"9","Over 200,000","","2002-03-20 00:00:00","CONVERT "
