"RD_CHAR_CD","RD_CHAR_LONG_DESC","RD_CHAR_MED_DESC","RD_CHAR_SHORT_DESC","RD_CHAR_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"0","Unknown","UNKNOWN","UNK     ","","2017-03-16 15:19:39","Hwye85p "
"1","Intersection","INTER","INTER   ","","2017-03-16 15:19:39","Hwye85p "
"2","Driveway or Alley","ALLEY","ALLEY   ","","2017-03-16 15:19:39","Hwye85p "
"3","Straight Roadway","STRAIGHT","STRGHT  ","","2017-03-16 15:19:39","Hwye85p "
"4","Transition","TRANSTN","TRANS   ","","2017-03-16 15:19:39","Hwye85p "
"5","Curve (horizontal curve)","CURVE","CURVE   ","","2017-03-16 15:19:39","Hwye85p "
"6","Open access or turnout","OPEN ACC","OPENAC  ","","2017-03-16 15:19:39","Hwye85p "
"7","Grade (vertical curve)","GRADE","GRADE   ","","2017-03-16 15:19:39","Hwye85p "
"8","Bridge Structure","BRIDGE","BRIDGE  ","","2017-03-16 15:19:39","Hwye85p "
"9","Tunnel","TUNNEL","TUNNEL  ","","2017-03-16 15:19:39","Hwye85p "
