"SPECL_JRSDCT_ID","JRSDCT_GRP_CD","SPECL_JRSDCT_LONG_DESC","SPECL_JRSDCT_MED_DESC","SPECL_JRSDCT_SHORT_DESC","SPECL_JRSDCT_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"40","1 ","Deschutes National Forest","DESCHUTES NF","DESCHTS NF","","2002-03-20 00:00:00","CONVERT "
"41","1 ","Fremont National Forest","FREMONT NF","FREMONT NF","","2002-03-20 00:00:00","CONVERT "
"42","1 ","Malheur National Forest","MALHEUR NF","MALHEUR NF","","2002-03-20 00:00:00","CONVERT "
"43","1 ","Mt. Hood National Forest","MT. HOOD NF","MT HOOD NF","","2002-03-20 00:00:00","CONVERT "
"44","1 ","Ochoco National Forest","OCHOCO NF","OCHOCO NF ","","2002-03-20 00:00:00","CONVERT "
"45","1 ","Rogue River National Forest","ROGUE RIVER NF","ROG RVR NF","","2002-03-20 00:00:00","CONVERT "
"46","1 ","Siskiyou National Forest","SISKIYOU NF","SISKYOU NF","","2002-03-20 00:00:00","CONVERT "
"47","1 ","Siuslaw National Forest","SIUSLAW NF","SIUSLAW NF","","2002-03-20 00:00:00","CONVERT "
"48","1 ","Umatilla National Forest","UMATILLA NF","UMATILA NF","","2002-03-20 00:00:00","CONVERT "
"49","1 ","Umpqua National Forest","UMPQUA NF","UMPQUA NF ","","2002-03-20 00:00:00","CONVERT "
"50","1 ","Wallowa-Whitman National Forest","WALLOWA-WHTM NF","WALLOWA NF","","2011-09-28 13:34:59","Hwye85p "
"51","1 ","Willamette National Forest","WILLAMETTE NF","WILLAMT NF","","2002-03-20 00:00:00","CONVERT "
"52","1 ","Winema National Forest","WINEMA NF","WINEMA NF ","","2002-03-20 00:00:00","CONVERT "
"53","1 ","Whitman National Forest","WHITMAN NF","WHITMAN NF","2011-09-28 00:00:00","2011-09-28 13:34:29","Hwye85p "
"59","3 ","Crater Lake National Park","CRATER LAKE NP","CRATRLK NF","","2002-03-20 00:00:00","CONVERT "
"60","5 ","Any BLM Road","BLM ROAD","BLM ROAD  ","","2002-03-20 00:00:00","CONVERT "
"70","4 ","Any State Park Road","STATE PARK RD","SP ROAD   ","","2002-03-20 00:00:00","CONVERT "
"71","2 ","Any State Forest Service Road","STATE FRST RD","SF ROAD   ","","2002-03-20 00:00:00","CONVERT "
"80","6 ","Burns Reservation","BURNS RES","BURNS RS  ","","2002-03-20 00:00:00","CONVERT "
"81","6 ","Fort McDermitt Reservation","FORT MCD RES","FT MCD RE ","","2002-03-20 00:00:00","CONVERT "
"82","6 ","Grand Ronde Reservation","GRAND RONDE RES","GRD RND RS","","2002-03-20 00:00:00","CONVERT "
"83","6 ","Siletz Reservation","SILETZ RES","SILETZ RS ","","2002-03-20 00:00:00","CONVERT "
"84","6 ","Umatilla Reservation","UMATILLA RES","UMATILA RS","","2002-03-20 00:00:00","CONVERT "
"85","6 ","Warm Springs Reservation","WARMSPRINGS RES","WARMSPR RS","","2002-03-20 00:00:00","CONVERT "
"97","7 ","Other Federal Jurisdiction","OTHER FEDERAL","OTHER FED ","","2002-03-20 00:00:00","CONVERT "
"98","8 ","Other Non-Federal Jurisdiction","OTHER NON-FED","NON-FED   ","","2002-03-20 00:00:00","CONVERT "
"99","9 ","Unknown Jurisdiction ","UNKNOWN","UNKNOWN   ","","2002-03-20 00:00:00","CONVERT "
