"LookupTableName","LookupSql"
"ACTN","SELECT ACTN_CD, ACTN_LONG_DESC, ACTN_MED_DESC, ACTN_SHORT_DESC, ACTN_PARTIC_VALID_FLG, ACTN_VHCL_VALID_FLG, ACTN_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM ACTN"
"CAUSE","SELECT CAUSE_CD, CAUSE_LONG_DESC, CAUSE_MED_DESC, CAUSE_SHORT_DESC, CAUSE_CRASH_VALID_FLG, CAUSE_PARTIC_VALID_FLG, CAUSE_VHCL_VALID_FLG, CAUSE_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM CAUSE"
"CITY_FIPS_HIST","SELECT CITY_SECT_ID, CITY_FIPS_HIST_START_YR_NO, CITY_FIPS_HIST_TERMNT_YR_NO, FIPS_CITY_ID, CITY_SECT_URB_RURAL_AREA_IND, LAST_UD_DT, LAST_UD_USER_ID FROM CITY_FIPS_HIST"
"CITY_SECT","SELECT CITY_SECT_ID, CITY_SECT_NM, CITY_SECT_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM CITY_SECT"
"CMPSS_DRCT","SELECT CMPSS_DIR_CD, CMPSS_DIR_SHORT_DESC, CMPSS_DIR_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM CMPSS_DRCT"
"CNTY","SELECT CNTY_ID, CNTY_NM, FIPS_CNTY_ID, CNTY_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM CNTY"
"COLLIS_TYP","SELECT COLLIS_TYP_CD, COLLIS_TYP_LONG_DESC, COLLIS_TYP_ALT_LONG_DESC, COLLIS_TYP_MED_DESC, COLLIS_TYP_SHORT_DESC, COLLIS_TYP_SORT_ORDR_NO, COLLIS_TYP_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM COLLIS_TYP"
"CRASH_HR","SELECT CRASH_HR_NO, CRASH_HR_LONG_DESC, CRASH_HR_MED_DESC, CRASH_HR_SHORT_DESC, CRASH_HR_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM CRASH_HR"
"CRASH_SVRTY","SELECT CRASH_SVRTY_CD, CRASH_SVRTY_LONG_DESC, CRASH_SVRTY_SHORT_DESC, CRASH_SVRTY_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM CRASH_SVRTY"
"CRASH_TYP","SELECT CRASH_TYP_CD, CRASH_TYP_LONG_DESC, CRASH_TYP_MED_DESC, CRASH_TYP_SHORT_DESC, CRASH_TYP_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM CRASH_TYP"
"DRVR_LIC_STAT","SELECT DRVR_LIC_STAT_CD, DRVR_LIC_STAT_LONG_DESC, DRVR_LIC_STAT_SHORT_DESC, DRVR_LIC_STAT_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM DRVR_LIC_STAT"
"DRVR_RES_STAT","SELECT DRVR_RES_STAT_CD, DRVR_RES_LONG_DESC, DRVR_RES_SHORT_DESC, DRVR_RES_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM DRVR_RES_STAT"
"ERR","SELECT CRASH_ERR_CD, CRASH_ERR_LONG_DESC, CRASH_ERR_MED_DESC, CRASH_ERR_SHORT_DESC, CRASH_ERR_PARTIC_VALID_FLG, CRASH_ERR_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM ERR"
"EVNT","SELECT EVNT_CD, EVNT_LONG_DESC, EVNT_MED_DESC, EVNT_SHORT_DESC, EVNT_CRASH_VALID_FLG, EVNT_PARTIC_VALID_FLG, EVNT_VHCL_VALID_FLG, EVNT_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM EVNT"
"FUNC_CLASS","SELECT FC_CD, FC_DESC, FC_START_YR_NO, FC_TERMNT_YR_NO, LAST_UD_DT, LAST_UD_USER_ID, FC_SHORT_DESC FROM FUNC_CLASS"
"HWY_COMPNT","SELECT HWY_COMPNT_CD, HWY_COMPNT_LONG_DESC, HWY_COMPNT_MED_DESC, HWY_COMPNT_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID, HWY_COMPNT_SHORT_DESC FROM HWY_COMPNT"
"HWY_HIST","SELECT HWY_NO, HWY_SFX_NO, HWY_LONG_NM, HWY_MED_NM, HWY_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID, ALT_HWY_NO FROM HWY_HIST"
