"CRASH_ID","VHCL_ID","PARTIC_ID","PARTIC_DSPLY_SEQ_NO","VHCL_CODED_SEQ_NO","PARTIC_VHCL_SEQ_NO","PARTIC_TYP_CD","PARTIC_TYP_SHORT_DESC","PARTIC_HIT_RUN_FLG","PUB_EMPL_FLG","SEX_CD","AGE_VAL","DRVR_LIC_STAT_CD","DRVR_LIC_STAT_SHORT_DESC","DRVR_RES_STAT_CD","DRVR_RES_SHORT_DESC","INJ_SVRTY_CD","INJ_SVRTY_SHORT_DESC","SFTY_EQUIP_USE_CD","SFTY_EQUIP_USE_SHORT_DESC","AIRBAG_DEPLOY_IND","MVMNT_CD","MVMNT_SHORT_DESC","CMPSS_DIR_FROM_CD","PARTIC_CMPSS_DIR_FROM_SHORT_DESC","CMPSS_DIR_TO_CD","PARTIC_CMPSS_DIR_TO_SHORT_DESC","NON_MOTRST_LOC_CD","NON_MOTRST_LOC_SHORT_DESC","ACTN_CD","ACTN_SHORT_DESC","PARTIC_ERR_1_CD","PARTIC_ERR_1_SHORT_DESC","PARTIC_ERR_2_CD","PARTIC_ERR_2_SHORT_DESC","PARTIC_ERR_3_CD","PARTIC_ERR_3_SHORT_DESC","PARTIC_CAUSE_1_CD","PARTIC_CAUSE_1_SHORT_DESC","PARTIC_CAUSE_2_CD","PARTIC_CAUSE_2_SHORT_DESC","PARTIC_CAUSE_3_CD","PARTIC_CAUSE_3_SHORT_DESC","PARTIC_EVNT_1_CD","PARTIC_EVNT_1_SHORT_DESC","PARTIC_EVNT_2_CD","PARTIC_EVNT_2_SHORT_DESC","PARTIC_EVNT_3_CD","PARTIC_EVNT_3_SHORT_DESC","BAC_VAL","ALCHL_USE_RPT_IND","DRUG_USE_RPT_IND","MJ_USE_RPT_IND","STRIKG_PARTIC_FLG"
"1916236","3601486","4095397","1","1","1","1","DRVR","False","False","1","26","3","SUSP ","4","N-RES","2","INJA","6","HELM      ","","","","","","","","","","000","NONE     ","050","SPEED     ","","","","","30","SPEED   ","","","","","001","FEL/JUMP  ","","","","","","","1","","False"
"1916245","3601501","4095418","1","1","1","1","DRVR","False","False","2","49","1","OR-Y ","2","OR>25","4","INJC","2","BELT      ","0","","","","","","","","","017","LOSTCTRL ","047","BASCRULE  ","043","TOO CLOSE ","","","01","TOO-FAST","07","TOO-CLOS","","","","","","","","","86","0","0","3","False"
"1916255","3601516","4095437","2","2","1","1","DRVR","False","False","1","41","0","NONE ","1","OR<25","4","INJC","2","BELT      ","1","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916266","3601535","4095463","2","2","1","1","DRVR","False","False","2","47","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","0","0","3","False"
"1916274","3601550","4095480","2","2","1","1","DRVR","False","False","1","59","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916274","3601550","4095481","3","2","2","2","PSNG","False","False","2","57","","","","","4","INJC","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","","","","False"
"1916276","3601552","4095484","1","1","1","1","DRVR","False","False","1","58","1","OR-Y ","1","OR<25","9","NONE","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","0","0","3","False"
"1916294","3601586","4095519","2","2","1","1","DRVR","False","False","1","21","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","86","0","0","3","False"
"1916302","3601601","4095536","1","1","1","1","DRVR","False","False","2","36","1","OR-Y ","1","OR<25","4","INJC","2","BELT      ","0","","","","","","","","","038","DISTRACT ","052","CARELESS  ","016","INATTENT  ","","","32","CARELESS","27","INATTENT","","","","","","","","","","0","0","3","False"
"1916302","3601601","4095537","2","1","2","2","PSNG","False","False","2","14","","","","","3","INJB","2","BELT      ","0","","","","","","","","","000","NONE     ","000","NONE      ","","","","","00","NO CODE ","","","","","","","","","","","","0","0","3","False"
