"CRASH_ID","SER_NO","CRASH_DT","CRASH_MO_NO","CRASH_DAY_NO","CRASH_YR_NO","CRASH_WK_DAY_CD","CRASH_HR_NO","CRASH_HR_SHORT_DESC","CNTY_ID","CNTY_NM","CITY_SECT_ID","CITY_SECT_NM","URB_AREA_CD","URB_AREA_SHORT_NM","FC_CD","FC_SHORT_DESC","NHS_FLG","HWY_NO","HWY_SFX_NO","HWY_MED_NM","RDWY_NO","HWY_COMPNT_CD","HWY_COMPNT_SHORT_DESC","MLGE_TYP_CD","MLGE_TYP_SHORT_DESC","RD_CON_NO","LRS_VAL","LAT_DEG_NO","LAT_MINUTE_NO","LAT_SEC_NO","LONGTD_DEG_NO","LONGTD_MINUTE_NO","LONGTD_SEC_NO","LAT_DD","LONGTD_DD","SPECL_JRSDCT_ID","SPECL_JRSDCT_SHORT_DESC","JRSDCT_GRP_CD","JRSDCT_GRP_LONG_DESC","AGY_ST_NO","ST_FULL_NM","RECRE_RD_NM","ISECT_AGY_ST_NO","ISECT_ST_FULL_NM","ISECT_RECRE_RD_NM","ISECT_SEQ_NO","FROM_ISECT_DSTNC_QTY","CMPSS_DIR_CD","MP_NO","POST_SPEED_LMT_VAL","RD_CHAR_CD","RD_CHAR_SHORT_DESC","OFF_RDWY_FLG","ISECT_TYP_CD","ISECT_TYP_SHORT_DESC","ISECT_REL_FLG","RNDABT_FLG","DRVWY_REL_FLG","LN_QTY","TURNG_LEG_QTY","MEDN_TYP_CD","MEDN_TYP_SHORT_DESC","IMPCT_LOC_CD","CRASH_TYP_CD","CRASH_TYP_SHORT_DESC","COLLIS_TYP_CD","COLLIS_TYP_SHORT_DESC","CRASH_SVRTY_CD","CRASH_SVRTY_SHORT_DESC","WTHR_COND_CD","WTHR_COND_SHORT_DESC","RD_SURF_COND_CD","RD_SURF_SHORT_DESC","LGT_COND_CD","LGT_COND_SHORT_DESC","TRAF_CNTL_DEVICE_CD","TRAF_CNTL_DEVICE_SHORT_DESC","TRAF_CNTL_FUNC_FLG","INVSTG_AGY_CD","INVSTG_AGY_SHORT_DESC","CRASH_EVNT_1_CD","CRASH_EVNT_1_SHORT_DESC","CRASH_EVNT_2_CD","CRASH_EVNT_2_SHORT_DESC","CRASH_EVNT_3_CD","CRASH_EVNT_3_SHORT_DESC","CRASH_CAUSE_1_CD","CRASH_CAUSE_1_SHORT_DESC","CRASH_CAUSE_2_CD","CRASH_CAUSE_2_SHORT_DESC","CRASH_CAUSE_3_CD","CRASH_CAUSE_3_SHORT_DESC","SCHL_ZONE_IND","WRK_ZONE_IND","SCNDRY_CRASH_IND","ALCHL_INVLV_FLG","DRUG_INVLV_FLG","MJ_INVLV_FLG","CRASH_SPEED_INVLV_FLG","CRASH_HIT_RUN_FLG","POP_RNG_CD","POP_RNG_MED_DESC","RD_CNTL_CD","RD_CNTL_MED_DESC","RTE_TYP_CD","RTE_ID","RTE_NM","REG_ID","DIST_ID","SEG_MRK_ID","SEG_PT_LRS_MEAS","UNLOCT_FLG","CRASH_LAST_UD_DT","TOT_VHCL_CNT","TOT_FATAL_CNT","TOT_INJ_LVL_A_CNT","TOT_INJ_LVL_B_CNT","TOT_INJ_LVL_C_CNT","TOT_INJ_CNT","TOT_UNINJD_AGE00_04_CNT","TOT_UNINJD_PER_CNT","TOT_PED_CNT","TOT_PED_FATAL_CNT","TOT_PED_INJ_LVL_A_CNT","TOT_PED_INJ_CNT","TOT_PEDCYCL_CNT","TOT_PEDCYCL_FATAL_CNT","TOT_PEDCYCL_INJ_LVL_A_CNT","TOT_PEDCYCL_INJ_CNT","TOT_UNKNWN_CNT","TOT_UNKNWN_FATAL_CNT","TOT_UNKNWN_INJ_CNT","TOT_OCCUP_CNT","TOT_PER_INVLV_CNT","TOT_SFTY_EQUIP_USED_QTY","TOT_SFTY_EQUIP_UNUSED_QTY","TOT_SFTY_EQUIP_USE_UNKNOWN_QTY","TOT_PSNGR_VHCL_OCC_UNRESTRND_FATAL_CNT","TOT_MCYCLST_FATAL_CNT","TOT_MCYCLST_INJ_LVL_A_CNT","TOT_MCYCLST_INJ_CNT","TOT_MCYCLST_UNHELMTD_FATAL_CNT","TOT_ALCHL_IMPAIRED_DRVR_INV_FATAL_CNT","TOT_DRVR_AGE_01_20_CNT","LANE_RDWY_DPRT_CRASH_FLG"
"1931955","00002","2022-01-03 00:00:00","01","03","2022","2","18","6P ","26","Multnomah","83","Gresham","57","PORTLAND UA    ","16","U MN-ART","False","","","","","","","","","","","45","29","19.190000000000000","-122","28","31.890000000000000","45.488663965464845","-122.475523797149310","","","","","01018  ","SW HIGHLAND DR              ","","08611  ","SW 11TH ST                  ","","1","0","9","","","1","INTER   ","False","3","3-LEG  ","False","False","False","","0","","","01","3","PED       ","0","PED     ","2","FAT","3","RAIN","2","WET ","2","DLIT","001","TRF SIGNAL","True","3","CITY  ","","","","","","","18","IN RDWY ","","","","","0","0","0","True","True","False","False","False","8","100,001 to 200,000","3","URBAN CITY STREET ","","","","1","02C","58_125641","","False","2024-04-09 17:24:18","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","N"
"1931961","00368","2022-01-03 00:00:00","01","03","2022","2","17","5P ","26","Multnomah","243","Portland NE","57","PORTLAND UA    ","17","U MJ-COL","False","","","","","","","","","","","45","31","35.380000000000000","-122","36","22.550000000000000","45.526494856407540","-122.606264566497940","","","","","00922  ","NE GLISAN ST                ","","05056  ","NE 56TH AVE                 ","","1","0","9","","","1","INTER   ","False","1","CROSS  ","False","False","False","","0","","","01","D","S-1TURN   ","6","TURN    ","2","FAT","2","CLD ","2","WET ","5","DUSK","004","STOP SIGN ","True","3","CITY  ","124","SLIPPERY  ","","","","","08","IMP-TURN","","","","","","","","False","False","False","False","False","9","Over 200,000","1","PORTLAND CITY STREET","","","","1","02B","58_137783","","False","2024-04-09 18:27:16","3","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","5","5","4","1","0","1","0","0","0","0","0","1","N"
"1931964","00188","2022-01-08 00:00:00","01","08","2022","7","19","7P ","26","Multnomah","83","Gresham","57","PORTLAND UA    ","16","U MN-ART","False","","","","","","","","","","","45","31","8.900000000000000","-122","28","13.600000000000000","45.519137915381954","-122.470445009301970","","","","","02218  ","NW STARK ST                 ","","05187  ","NW 187TH AVE                ","","1","30","3","","","3","STRGHT  ","False","","","False","False","False","2","","0","NONE ","05","3","PED       ","0","PED     ","2","FAT","1","CLR ","1","DRY ","2","DLIT","099","UNKNOWN   ","True","3","CITY  ","","","","","","","18","IN RDWY ","19","NT VISBL","","","0","0","0","True","True","False","False","False","8","100,001 to 200,000","3","URBAN CITY STREET ","","","","1","02B","58_139451","","False","2024-04-09 17:24:19","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","N"
"1931968","00267","2022-01-08 00:00:00","01","08","2022","7","17","5P ","20","Lane","64","Eugene","25","EUGN-SPR UA    ","14","U PR-ART","True","","","","","","","","","","","44","2","52.510000000000000","-123","8","13.330000000000000","44.047919107621590","-123.137035842984060","","","","","05011  ","11TH AVE                    ","","02423  ","TYINN ST                    ","","1","20","7","","","3","STRGHT  ","False","","","False","False","False","4","","0","NONE ","05","3","PED       ","0","PED     ","2","FAT","1","CLR ","1","DRY ","3","DARK","099","UNKNOWN   ","True","3","CITY  ","","","","","","","18","IN RDWY ","19","NT VISBL","","","0","0","0","True","True","False","False","True","8","100,001 to 200,000","3","URBAN CITY STREET ","","","","2","05 ","277_8163","","False","2024-04-09 17:11:14","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","N"
"1932374","00187","2022-01-13 00:00:00","01","13","2022","5","05","5A ","26","Multnomah","243","Portland NE","57","PORTLAND UA    ","14","U PR-ART","True","","","","","","","","","","","45","31","34.740000000000000","-122","33","50.350000000000000","45.526317647808980","-122.563985818705050","","","","","00922  ","NE GLISAN ST                ","","09725  ","NB STARK-GLISAN C2          ","","1","60","3","","","3","STRGHT  ","False","","","False","False","False","4","","0","NONE ","08","3","PED       ","0","PED     ","2","FAT","3","RAIN","2","WET ","2","DLIT","099","UNKNOWN   ","True","3","CITY  ","","","","","","","18","IN RDWY ","19","NT VISBL","","","0","0","0","False","True","False","False","False","9","Over 200,000","1","PORTLAND CITY STREET","","","","1","02B","58_137937","","False","2024-04-09 18:27:16","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","N"
"1932392","99999","2022-01-16 00:00:00","01","16","2022","1","11","11A","04","Clatsop","","","","","09","R LOCAL ","False","","","","","","","","","","","46","12","59.760000000000000","-123","32","27.690000000000000","46.216599511903980","-123.541026312674430","","","","","00203  ","BROWNSMEAD DIKE RD          ","","","                            ","","","","0","1.61","","5","CURVE   ","True","","","False","False","False","2","","0","NONE ","01","0","NON-COLL  ","8","NCOL    ","2","FAT","0","UNK ","0","UNK ","1","DAY ","099","UNKNOWN   ","True","2","COUNTY","086","IMMERSED  ","","","","","10","OTHR-IMP","","","","","","","","False","True","False","False","False","","","6","RURAL COUNTY ROAD","","","","2","01 ","66_4003168","","False","2022-08-05 18:55:49","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","Y"
"1932740","00001","2022-01-22 00:00:00","01","22","2022","7","99","UNK","21","Lincoln","","","","","08","R MN-COL","False","","","","","","","","","","","44","17","32.960000000000000","-123","53","15.630000000000000","44.292489429921290","-123.887675255484960","","","","","00900  ","BUCK CREEK RD               ","","","                            ","","","","0","4.13","","5","CURVE   ","True","","","False","False","False","2","","0","NONE ","01","8","FIX OBJ   ","9","FIX     ","2","FAT","2","CLD ","2","WET ","1","DAY ","099","UNKNOWN   ","True","2","COUNTY","062","TREE      ","079","DITCH     ","","","27","INATTENT","","","","","0","0","0","True","True","False","False","False","","","6","RURAL COUNTY ROAD","","","","2","04 ","90_21004056","","False","2023-06-19 09:52:46","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","Y"
"1932854","00001","2022-01-22 00:00:00","01","22","2022","7","07","7A ","24","Marion","110","Keizer","67","SALEM-KZ UA    ","17","U MJ-COL","False","","","","","","","","","","","45","0","19.290000000000000","-123","1","19.990000000000000","45.005357517783580","-123.022219247824720","","","","","01435  ","LOCKHAVEN DR NE             ","","02320  ","TRAIL AVE NE                ","","1","0","1","","","1","INTER   ","True","3","3-LEG  ","False","False","False","","0","","","05","8","FIX OBJ   ","9","FIX     ","2","FAT","2","CLD ","1","DRY ","1","DAY ","000","NONE      ","True","3","CITY  ","053","POLE UTL  ","091","BUILDING  ","005","SUB-PED   ","33","RECKLESS","08","IMP-TURN","","","","","0","True","True","False","False","False","6","25,001 to 50,000","3","URBAN CITY STREET ","","","","2","03 ","53_10011719","","False","2024-04-09 17:35:21","1","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","2","2","0","1","3","0","0","1","0","0","0","0","0","2","0","N"
"1933356","00148","2022-01-23 00:00:00","01","23","2022","1","17","5P ","15","Jackson","","","","","09","R LOCAL ","False","","","","","","","","","","","42","24","3.240000000000000","-123","13","26.050000000000000","42.400900485620640","-123.223903143033270","","","","","00911  ","SAVAGE CR RD                ","","","                            ","","","","0","0.63","","5","CURVE   ","True","","","False","False","False","2","","0","NONE ","01","8","FIX OBJ   ","9","FIX     ","2","FAT","1","CLR ","1","DRY ","3","DARK","099","UNKNOWN   ","True","2","COUNTY","079","DITCH     ","010","SUB OTRN  ","","","10","OTHR-IMP","","","","","0","0","0","True","False","False","False","False","","","6","RURAL COUNTY ROAD","","","","3","08 ","142_1009","","False","2023-06-19 09:55:20","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","1","0","Y"
"1933404","99999","2022-01-24 00:00:00","01","24","2022","2","07","7A ","02","Benton","","","19","CORVALIS UA    ","16","U MN-ART","False","","","","","","","","","","","44","33","19.760000000000000","-123","21","15.480000000000000","44.555489164272220","-123.354300835370860","","","","","25320  ","WEST HILL RD                ","","","                            ","","","","0","2.11","","3","STRGHT  ","False","","","False","False","False","2","","0","NONE ","05","G","O-STRGHT  ","2","HEAD    ","2","FAT","5","FOG ","2","WET ","1","DAY ","014","NO-PASS-ZN","True","2","COUNTY","","","","","","","05","LEFT-CTR","","","","","0","0","0","False","False","False","False","False","","","9","SUBURBAN COUNTY ROAD","","","","2","04 ","9_3726","","False","2022-11-29 07:30:05","2","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","Y"
